onset,duration,amplitude,regressor
46.24,57.120000000000005,0.010895894459984639,negative_draw
118.32000000000001,54.400000000000006,-0.5262458279693245,negative_draw
197.88000000000002,52.36000000000001,0.10019920778849487,negative_draw
269.28000000000003,48.96,-0.8813015313765015,negative_draw
333.20000000000005,41.480000000000004,0.9970907694855687,negative_draw
384.88000000000005,114.92,0.07191875478804247,negative_draw
46.24,57.120000000000005,-6.709917434774467e-05,negative_draw_derivative
118.32000000000001,54.400000000000006,0.003160500406572764,negative_draw_derivative
197.88000000000002,52.36000000000001,-0.0006021256780860959,negative_draw_derivative
269.28000000000003,48.96,0.0052893381048910604,negative_draw_derivative
333.20000000000005,41.480000000000004,-0.005991839318876477,negative_draw_derivative
384.88000000000005,114.92,-0.0004285275001645183,negative_draw_derivative
0.0,291.72,0.03075416434242423,cosine00
0.0,291.72,-0.010251296700466195,cosine02
0.0,291.72,0.006150668325174823,cosine04
0.0,291.72,-0.004393216985314684,cosine06
0.68,36.720000000000006,-4.36019629629704e-05,rot_x_derivative1
38.080000000000005,31.96,2.3721893617012783e-05,rot_x_derivative1
70.72,68.0,-0.00015625979000000913,rot_x_derivative1
139.4,42.160000000000004,2.6841935483869418e-05,rot_x_derivative1
182.24,30.6,2.8817777777762533e-05,rot_x_derivative1
213.52,140.76000000000002,5.630415458937437e-05,rot_x_derivative1
355.64000000000004,26.520000000000003,1.642641025640514e-05,rot_x_derivative1
382.84000000000003,1.36,0.0,rot_x_derivative1
384.88000000000005,11.56,1.4553117647052942e-05,rot_x_derivative1
397.12,8.16,8.601583333333341e-06,rot_x_derivative1
405.96000000000004,1.36,0.0,rot_x_derivative1
408.68,101.32000000000001,-8.239073825500653e-06,rot_x_derivative1
0.68,36.720000000000006,5.547754592545556e-07,rot_x_derivative1_power2
38.080000000000005,31.96,9.162546960978084e-07,rot_x_derivative1_power2
70.72,68.0,6.9908719765331245e-06,rot_x_derivative1_power2
139.4,42.160000000000004,8.827898416129027e-07,rot_x_derivative1_power2
182.24,30.6,3.8030024933333313e-07,rot_x_derivative1_power2
213.52,140.76000000000002,7.969935455821738e-07,rot_x_derivative1_power2
355.64000000000004,26.520000000000003,9.419487308764102e-08,rot_x_derivative1_power2
382.84000000000003,1.36,2.1606648064e-08,rot_x_derivative1_power2
384.88000000000005,11.56,7.707232347029414e-08,rot_x_derivative1_power2
397.12,8.16,1.5881515880275004e-07,rot_x_derivative1_power2
405.96000000000004,1.36,2.08604119824e-07,rot_x_derivative1_power2
408.68,101.32000000000001,1.3644265805278522e-06,rot_x_derivative1_power2
0.68,19.720000000000002,-2.117837931035173e-05,rot_y_derivative1
22.44,9.520000000000001,-7.142857856606968e-11,rot_y_derivative1
32.64,31.96,-1.2944914893610657e-05,rot_y_derivative1
65.28,19.720000000000002,9.586655172424145e-06,rot_y_derivative1
86.36,3.4000000000000004,1.9946609468302067e-17,rot_y_derivative1
90.44000000000001,6.800000000000001,-1.0000000998030026e-10,rot_y_derivative1
98.60000000000001,9.520000000000001,-6.223000000007138e-06,rot_y_derivative1
108.80000000000001,48.28,-1.1367887323936608e-05,rot_y_derivative1
157.76000000000002,8.84,5.842661538462307e-05,rot_y_derivative1
167.96,40.800000000000004,-3.6082666666683465e-06,rot_y_derivative1
209.44000000000003,1.36,0.0,rot_y_derivative1
212.16000000000003,12.24,-5.5535244612868615e-18,rot_y_derivative1
225.08,8.16,2.736774999999994e-05,rot_y_derivative1
234.60000000000002,8.84,4.6770923076915416e-05,rot_y_derivative1
244.12,2.72,-4.743750000000017e-06,rot_y_derivative1
250.92000000000002,3.4000000000000004,-1.9999999999230702e-10,rot_y_derivative1
255.00000000000003,1.36,0.0,rot_y_derivative1
257.04,27.880000000000003,-5.301853658539026e-06,rot_y_derivative1
285.6,12.920000000000002,-4.14457894738947e-06,rot_y_derivative1
299.20000000000005,14.280000000000001,1.8389428571428566e-05,rot_y_derivative1
314.84000000000003,1.36,0.0,rot_y_derivative1
316.88,1.36,0.0,rot_y_derivative1
320.28000000000003,1.36,0.0,rot_y_derivative1
329.12,3.4000000000000004,-5.4210108624275225e-21,rot_y_derivative1
333.20000000000005,2.72,0.0,rot_y_derivative1
337.28000000000003,1.36,0.0,rot_y_derivative1
341.36,1.36,0.0,rot_y_derivative1
344.08000000000004,129.20000000000002,8.771768421048945e-06,rot_y_derivative1
0.68,19.720000000000002,2.417071985465932e-08,rot_y_derivative1_power2
22.44,9.520000000000001,3.4807297894214284e-08,rot_y_derivative1_power2
32.64,31.96,1.9399023982702126e-08,rot_y_derivative1_power2
65.28,19.720000000000002,4.8078571199827575e-08,rot_y_derivative1_power2
86.36,3.4000000000000004,1.5561677056400013e-08,rot_y_derivative1_power2
90.44000000000001,6.800000000000001,1.87669905659e-08,rot_y_derivative1_power2
98.60000000000001,9.520000000000001,3.5730754549e-08,rot_y_derivative1_power2
108.80000000000001,48.28,1.0155560809188732e-07,rot_y_derivative1_power2
157.76000000000002,8.84,6.979373824461538e-08,rot_y_derivative1_power2
167.96,40.800000000000004,1.2603328149676668e-07,rot_y_derivative1_power2
209.44000000000003,1.36,3.005715689999998e-08,rot_y_derivative1_power2
212.16000000000003,12.24,7.710806775722221e-08,rot_y_derivative1_power2
225.08,8.16,3.348679864375006e-08,rot_y_derivative1_power2
234.60000000000002,8.84,1.4383321120454e-07,rot_y_derivative1_power2
244.12,2.72,8.2887203304755e-08,rot_y_derivative1_power2
250.92000000000002,3.4000000000000004,1.0181932258599999e-08,rot_y_derivative1_power2
255.00000000000003,1.36,2.6289995735609986e-08,rot_y_derivative1_power2
257.04,27.880000000000003,3.701790994004942e-08,rot_y_derivative1_power2
285.6,12.920000000000002,4.673346398838946e-08,rot_y_derivative1_power2
299.20000000000005,14.280000000000001,3.79163240288562e-08,rot_y_derivative1_power2
314.84000000000003,1.36,2.35289154583044e-08,rot_y_derivative1_power2
316.88,1.36,1.8363637656250007e-08,rot_y_derivative1_power2
320.28000000000003,1.36,1.579214462224e-08,rot_y_derivative1_power2
329.12,3.4000000000000004,2.508482423452e-08,rot_y_derivative1_power2
333.20000000000005,2.72,1.4011858752679996e-08,rot_y_derivative1_power2
337.28000000000003,1.36,2.7642883057020098e-08,rot_y_derivative1_power2
341.36,1.36,3.4659268899999994e-08,rot_y_derivative1_power2
344.08000000000004,129.20000000000002,3.520673914752305e-08,rot_y_derivative1_power2
0.0,584.12,429.0,Unnamed: 0
0.0,584.12,0.9128890196981962,task
0.0,584.12,-0.0002103133185270689,task_derivative
0.0,584.12,0.0003161462479411435,positive_draw
0.0,584.12,-7.976750697865014e-05,positive_draw_derivative
0.0,584.12,0.0016828756421444241,negative_draw
0.0,584.12,-0.00042355146655719347,negative_draw_derivative
0.0,584.12,-0.3659780611626381,trial_gain
0.0,584.12,0.0007225985573086233,trial_gain_derivative
0.0,584.12,1.216325659746005,trial_loss
0.0,584.12,-0.004926837342270875,trial_loss_derivative
0.0,584.12,0.0,cosine00
0.0,584.12,5.820722251108096e-13,cosine01
0.0,584.12,-1.0339678925496219e-18,cosine02
0.0,584.12,-5.820706741589708e-13,cosine03
0.0,584.12,1.0339678925496219e-18,cosine04
0.0,584.12,5.820711911429171e-13,cosine05
0.0,584.12,-2.5849197313740548e-19,cosine06
0.0,584.12,-5.820703510440044e-13,cosine07
0.0,584.12,-0.030316795809080317,trans_x
0.0,584.12,-4.947310826542518e-05,trans_x_derivative1
0.0,584.12,6.273488619746613e-05,trans_x_derivative1_power2
0.0,584.12,0.0011663993157485458,trans_x_power2
0.0,584.12,-0.6654647315133877,trans_y
0.0,584.12,0.0014789066356228216,trans_y_derivative1
0.0,584.12,0.008551706798974709,trans_y_derivative1_power2
0.0,584.12,0.5609500974841026,trans_y_power2
0.0,584.12,-0.03935658788696158,trans_z
0.0,584.12,-0.00014144819557625372,trans_z_derivative1
0.0,584.12,0.02885384023784513,trans_z_power2
0.0,584.12,0.0018986578828722918,trans_z_derivative1_power2
0.0,584.12,-0.006250958240942951,rot_x
0.0,584.12,1.4598421420254134e-05,rot_x_derivative1
0.0,584.12,8.123606267225716e-05,rot_x_power2
0.0,584.12,1.8800175329524355e-06,rot_x_derivative1_power2
0.0,584.12,0.00016086513512223892,rot_y
0.0,584.12,2.4322293364371337e-06,rot_y_derivative1
0.0,584.12,9.534739680814917e-08,rot_y_derivative1_power2
0.0,584.12,1.344402441008292e-06,rot_y_power2
0.0,584.12,0.00108227465800931,rot_z
0.0,584.12,3.377683352736553e-06,rot_z_derivative1
0.0,584.12,1.1949896024550198e-07,rot_z_derivative1_power2
0.0,584.12,1.8756811616734444e-06,rot_z_power2
0.0,584.12,1.0,constant
